symbol,side,type,price,timestamp
FB,buy,market,,1608917400
GOOG,sell,market,,1608917400
AAPL,buy,limit,130.98,1608917401
AMZN,buy,market,,1608917401
AMZN,buy,limit,,1608917401
GOOG,buy,market,,1608917402
AMZN,buy,limit,3170.56,1608917402
TSLA,buy,limit,659.04,1608917403
FB,sell,limit,265.57,1608917403
GOOG,sell,limit,1732.83,1608917403
GOOG,buy,market,,1608917404
TSLA,sell,market,,1608917404
GOOG,buy,limit,1733.8,1608917405
TSLA,sell,limit,659.19,1608917405
AAPL,buy,limit,130.44,1608917405
AMZN,sell,limit,3171.87,1608917405
GOOG,sell,limit,1733.82,1608917406
TSLA,sell,market,,1608917406
AAPL,sell,market,,1608917406
TSLA,buy,market,,1608917407
GOOG,sell,market,1732.51,1608917407
AAPL,sell,limit,130.4,1608917407
AAPL,sell,market,,1608917408
GOOG,sell,limit,1733.47,1608917408
TSLA,sell,market,,1608917409
AMZN,sell,market,,1608917410
GOOG,buy,market,,1608917410
AAPL,buy,market,,1608917410
GOOG,buy,market,,1608917411
AAPL,buy,market,,1608917412
FB,buy,market,,1608917412
AAPL,sell,limit,131.15,1608917413
GOOG,buy,limit,1733.56,1608917414
FB,buy,market,,1608917415
TSLA,buy,limit,659.18,1608917415
FB,buy,market,,1608917416
FB,buy,limit,265.26,1608917416
AAPL,sell,limit,131.04,1608917417
AMZN,buy,limit,3171.53,1608917417
FB,buy,market,,1608917418
TSLA,sell,market,,1608917418
FB,buy,limit,265.84,1608917419
GOOG,buy,market,,1608917420
TSLA,buy,limit,658.58,1608917420
GOOG,buy,limit,1733.71,1608917421
GOOG,buy,market,,1608917421
TSLA,buy,limit,659.75,1608917422
FB,buy,market,,1608917423
AMZN,buy,market,,1608917423
GOOG,buy,market,,1608917424
GOOG,sell,limit,1733.54,1608917424
TSLA,sell,limit,659.32,1608917425
AMZN,sell,limit,3170.12,1608917426
AAPL,sell,market,,1608917426
TSLA,buy,market,,1608917427
AMZN,sell,market,3171.76,1608917428
AMZN,sell,market,,1608917428
GOOG,sell,market,,1608917429
FB,buy,limit,266.37,1608917429
TSLA,buy,limit,658.28,1608917430
GOOG,sell,market,,1608917431
AMZN,buy,limit,3170.95,1608917431
GOOG,sell,limit,1733.43,1608917431
FB,buy,limit,265.95,1608917431
TSLA,buy,limit,659.26,1608917431
TSLA,buy,limit,659,1608917432
TSLA,sell,limit,659.45,1608917433
TSLA,buy,market,,1608917434
GOOG,sell,limit,1732.02,1608917435
FB,sell,limit,265.51,1608917435
FB,buy,limit,266.69,1608917436
TSLA,buy,limit,658.94,1608917436
GOOG,buy,market,,1608917437
AAPL,sell,limit,131.53,1608917438
AMZN,sell,limit,3170.91,1608917439
TSLA,sell,limit,,1608917440
FB,buy,market,,1608917440
AMZN,buy,limit,3170.82,1608917441
TSLA,buy,limit,658.98,1608917441
AMZN,buy,limit,3171.38,1608917441
AAPL,sell,limit,131.68,1608917442
GOOG,buy,limit,1732.99,1608917442
AAPL,sell,market,130.82,1608917442
AMZN,buy,limit,3171.99,1608917443
FB,sell,market,,1608917444
FB,sell,limit,265.15,1608917444
AAPL,buy,market,,1608917444
TSLA,buy,limit,658.44,1608917444
AMZN,buy,limit,3171.5,1608917445
AMZN,sell,limit,3171.15,1608917446
TSLA,sell,market,,1608917447
AAPL,buy,limit,131.84,1608917447
FB,buy,limit,265.52,1608917448
GOOG,sell,market,1733.2,1608917448
FB,sell,limit,265.41,1608917449
AMZN,sell,limit,3170.63,1608917449
GOOG,sell,market,,1608917450
AAPL,buy,market,,1608917450
AAPL,sell,market,,1608917451
GOOG,buy,limit,1733.94,1608917451
AAPL,buy,market,,1608917452
TSLA,buy,market,659.74,1608917453
GOOG,buy,market,,1608917454
GOOG,buy,limit,1733.12,1608917454
GOOG,buy,limit,1733.23,1608917454
TSLA,sell,limit,659.04,1608917454
TSLA,sell,market,,1608917455
FB,sell,limit,266.14,1608917455
FB,buy,limit,265.77,1608917456
AMZN,sell,limit,3170.44,1608917456
TSLA,sell,limit,,1608917457
AMZN,sell,limit,3170.85,1608917458
GOOG,buy,market,,1608917459
AMZN,buy,limit,,1608917459
AAPL,sell,market,,1608917460
TSLA,buy,market,,1608917461
AMZN,buy,limit,3170.15,1608917461
FB,buy,limit,265.27,1608917462
AAPL,buy,limit,130.68,1608917463
GOOG,sell,limit,1732.58,1608917464
TSLA,buy,limit,658.11,1608917465
GOOG,sell,limit,1733.34,1608917465
FB,sell,market,,1608917466
AAPL,buy,market,,1608917467
TSLA,sell,market,,1608917467
AMZN,buy,limit,3170.58,1608917467
FB,buy,limit,266.11,1608917468
AMZN,sell,market,,1608917469
FB,buy,limit,265.97,1608917469
FB,buy,market,,1608917470
AMZN,sell,market,,1608917471
FB,sell,market,,1608917471
GOOG,sell,limit,1732.29,1608917472
AAPL,sell,market,,1608917472
FB,buy,limit,266.66,1608917472
GOOG,sell,limit,1733.46,1608917473
AAPL,buy,limit,131.4,1608917474
FB,buy,limit,266.9,1608917474
TSLA,sell,limit,659.59,1608917475
AMZN,sell,market,,1608917475
GOOG,sell,limit,1732.95,1608917476
TSLA,buy,limit,659.22,1608917476
GOOG,sell,limit,1732.8,1608917476
AAPL,sell,market,,1608917476
GOOG,buy,market,,1608917477
AMZN,sell,limit,3171.77,1608917477
AMZN,sell,limit,3171.23,1608917478
FB,sell,limit,266.81,1608917479
AMZN,sell,limit,3170.14,1608917479
AAPL,sell,limit,130.26,1608917480
TSLA,sell,market,,1608917480
AMZN,buy,market,,1608917481
TSLA,buy,limit,659.37,1608917481
AAPL,buy,limit,130.05,1608917482
FB,buy,market,,1608917483
AMZN,sell,limit,3171.21,1608917483
AMZN,sell,limit,3170.68,1608917484
AMZN,buy,limit,3170.53,1608917484
GOOG,buy,limit,,1608917485
FB,buy,market,,1608917486
FB,sell,limit,266.15,1608917486
AMZN,buy,market,,1608917486
FB,buy,limit,266.02,1608917487
GOOG,buy,market,,1608917488
TSLA,sell,limit,659.79,1608917488
AMZN,sell,limit,3171.55,1608917489
TSLA,sell,limit,659.11,1608917489
AMZN,buy,market,,1608917490
AAPL,sell,limit,131.33,1608917491
TSLA,sell,market,,1608917492
TSLA,sell,limit,659.89,1608917493
AMZN,sell,limit,3171.03,1608917494
AAPL,sell,market,,1608917494
TSLA,sell,market,,1608917495
AAPL,buy,limit,131.4,1608917495
TSLA,sell,limit,658.46,1608917496
FB,buy,market,,1608917496
AMZN,sell,limit,3171.91,1608917496
AMZN,buy,limit,3170.63,1608917497
TSLA,sell,limit,658.67,1608917498
AAPL,sell,market,,1608917498
AAPL,buy,limit,131.07,1608917499
AAPL,sell,limit,130.73,1608917500
GOOG,sell,limit,1733.46,1608917500
FB,buy,market,,1608917500
FB,sell,limit,266.95,1608917501
FB,sell,market,,1608917501
AMZN,sell,limit,3170.67,1608917501
FB,buy,limit,265.63,1608917502
FB,buy,limit,266.06,1608917502
TSLA,sell,limit,658.9,1608917503
TSLA,buy,limit,658.31,1608917503
AAPL,buy,limit,130.07,1608917504
AAPL,sell,limit,131.74,1608917505
FB,sell,limit,266.43,1608917505
FB,sell,market,,1608917506
AAPL,buy,market,,1608917506
TSLA,buy,limit,658.57,1608917507
AAPL,buy,market,,1608917507
FB,sell,limit,266.9,1608917507
GOOG,buy,market,1732.7,1608917508
AAPL,sell,limit,131.83,1608917509
FB,sell,limit,,1608917509
AAPL,sell,market,,1608917510
AMZN,sell,limit,3170.87,1608917510
AAPL,buy,market,,1608917511
AMZN,sell,limit,,1608917511
GOOG,sell,market,,1608917512
TSLA,sell,market,,1608917513
AAPL,buy,market,,1608917513
GOOG,buy,market,1732.06,1608917514
FB,buy,limit,265.72,1608917515
GOOG,sell,limit,1733.75,1608917515
FB,sell,limit,265.56,1608917515
FB,sell,market,,1608917516
FB,sell,limit,265.41,1608917517
FB,buy,market,,1608917517
FB,buy,market,,1608917517
GOOG,sell,market,,1608917518
AMZN,sell,market,,1608917518
AAPL,buy,limit,130.9,1608917519
TSLA,buy,market,,1608917520
FB,sell,limit,265.31,1608917520
AMZN,buy,market,,1608917520
TSLA,buy,limit,658.18,1608917521
FB,buy,limit,266.43,1608917522
AAPL,buy,market,130.17,1608917522
